cell,X2,Y2,DataType,dbsumneg,SitePrimary,Histology,HistSubtype1,SitePrimaryCount,DataGood
697,cmpd X,cmpd C,growth,-1.00571,Haem Or Lymph,Lymphoid_Neoplasm,Acute_Lymphoblastic_B_Cell_Leukaemia,43,yes
697,cmpd X,cmpd D,growth,-0.18331,Haem Or Lymph,Lymphoid_Neoplasm,Acute_Lymphoblastic_B_Cell_Leukaemia,43,yes
697,cmpd X,cmpd E,growth,-2.05493,Haem Or Lymph,Lymphoid_Neoplasm,Acute_Lymphoblastic_B_Cell_Leukaemia,43,yes
697,cmpd X,cmpd F,growth,-2.25026,Haem Or Lymph,Lymphoid_Neoplasm,Acute_Lymphoblastic_B_Cell_Leukaemia,43,yes
697,cmpd Y,cmpd A,growth,-1.67269,Haem Or Lymph,Lymphoid_Neoplasm,Acute_Lymphoblastic_B_Cell_Leukaemia,43,yes
697,cmpd Y,cmpd B,growth,-2.38926,Haem Or Lymph,Lymphoid_Neoplasm,Acute_Lymphoblastic_B_Cell_Leukaemia,43,yes
697,cmpd Y,cmpd C,growth,-1.10814,Haem Or Lymph,Lymphoid_Neoplasm,Acute_Lymphoblastic_B_Cell_Leukaemia,43,yes
697,cmpd Y,cmpd D,growth,-0.48417,Haem Or Lymph,Lymphoid_Neoplasm,Acute_Lymphoblastic_B_Cell_Leukaemia,43,yes
697,cmpd Y,cmpd E,growth,-1.83332,Haem Or Lymph,Lymphoid_Neoplasm,Acute_Lymphoblastic_B_Cell_Leukaemia,43,yes
697,cmpd Y,cmpd F,growth,-1.27118,Haem Or Lymph,Lymphoid_Neoplasm,Acute_Lymphoblastic_B_Cell_Leukaemia,43,yes
CWR22Rv1,cmpd X,cmpd B,viability,-0.41285,Prostate,Carcinoma,Ns,6,yes
CWR22Rv1,cmpd X,cmpd C,viability,-0.59131,Prostate,Carcinoma,Ns,6,yes
CWR22Rv1,cmpd X,cmpd D,viability,-0.25848,Prostate,Carcinoma,Ns,6,yes
CWR22Rv1,cmpd X,cmpd E,viability,-1.71145,Prostate,Carcinoma,Ns,6,yes
CWR22Rv1,cmpd X,cmpd F,viability,-0.77497,Prostate,Carcinoma,Ns,6,yes
CWR22Rv1,cmpd Y,cmpd A,viability,-4.90466,Prostate,Carcinoma,Ns,6,yes
CWR22Rv1,cmpd Y,cmpd B,viability,-5.25011,Prostate,Carcinoma,Ns,6,yes
CWR22Rv1,cmpd Y,cmpd C,viability,-0.73484,Prostate,Carcinoma,Ns,6,yes
CWR22Rv1,cmpd Y,cmpd D,viability,-0.23901,Prostate,Carcinoma,Ns,6,yes
CWR22Rv1,cmpd Y,cmpd E,viability,-1.29198,Prostate,Carcinoma,Ns,6,yes
CWR22Rv1,cmpd Y,cmpd F,viability,-0.40733,Prostate,Carcinoma,Ns,6,yes
CWR22Rv1,cmpd X,cmpd B,growth,-0.4686,Prostate,Carcinoma,Ns,6,yes
CWR22Rv1,cmpd X,cmpd C,growth,-0.65899,Prostate,Carcinoma,Ns,6,yes
CWR22Rv1,cmpd X,cmpd D,growth,-0.38992,Prostate,Carcinoma,Ns,6,yes
CWR22Rv1,cmpd X,cmpd E,growth,-1.32731,Prostate,Carcinoma,Ns,6,yes
CWR22Rv1,cmpd X,cmpd F,growth,-0.77845,Prostate,Carcinoma,Ns,6,yes
CWR22Rv1,cmpd Y,cmpd A,growth,-2.72594,Prostate,Carcinoma,Ns,6,yes
CWR22Rv1,cmpd Y,cmpd B,growth,-3.43548,Prostate,Carcinoma,Ns,6,yes
CWR22Rv1,cmpd Y,cmpd C,growth,-0.58851,Prostate,Carcinoma,Ns,6,yes
CWR22Rv1,cmpd Y,cmpd D,growth,-0.18774,Prostate,Carcinoma,Ns,6,yes
CWR22Rv1,cmpd Y,cmpd E,growth,-0.85941,Prostate,Carcinoma,Ns,6,yes
CWR22Rv1,cmpd Y,cmpd F,growth,-0.30832,Prostate,Carcinoma,Ns,6,yes
CWR22Rv1,cmpd X,cmpd A,viability,-1.09526,Prostate,Carcinoma,Ns,6,yes
CWR22Rv1,cmpd X,cmpd A,growth,-1.05357,Prostate,Carcinoma,Ns,6,yes
769-P,cmpd X,cmpd A,viability,-2.21824,Kidney,Carcinoma,Clear_Cell_Renal_Cell_Carcinoma,3,yes
769-P,cmpd X,cmpd B,viability,-0.83819,Kidney,Carcinoma,Clear_Cell_Renal_Cell_Carcinoma,3,yes
769-P,cmpd X,cmpd C,viability,-0.85225,Kidney,Carcinoma,Clear_Cell_Renal_Cell_Carcinoma,3,yes
769-P,cmpd X,cmpd D,viability,-1.62203,Kidney,Carcinoma,Clear_Cell_Renal_Cell_Carcinoma,3,yes
769-P,cmpd X,cmpd E,viability,-0.92324,Kidney,Carcinoma,Clear_Cell_Renal_Cell_Carcinoma,3,yes
769-P,cmpd X,cmpd F,viability,-0.81085,Kidney,Carcinoma,Clear_Cell_Renal_Cell_Carcinoma,3,yes
769-P,cmpd Y,cmpd A,viability,-0.34662,Kidney,Carcinoma,Clear_Cell_Renal_Cell_Carcinoma,3,yes
769-P,cmpd Y,cmpd B,viability,-1.32978,Kidney,Carcinoma,Clear_Cell_Renal_Cell_Carcinoma,3,yes
769-P,cmpd Y,cmpd C,viability,-0.44624,Kidney,Carcinoma,Clear_Cell_Renal_Cell_Carcinoma,3,yes
769-P,cmpd Y,cmpd D,viability,-0.05283,Kidney,Carcinoma,Clear_Cell_Renal_Cell_Carcinoma,3,yes
769-P,cmpd Y,cmpd E,viability,-0.40262,Kidney,Carcinoma,Clear_Cell_Renal_Cell_Carcinoma,3,yes
769-P,cmpd Y,cmpd F,viability,-0.87879,Kidney,Carcinoma,Clear_Cell_Renal_Cell_Carcinoma,3,yes
769-P,cmpd X,cmpd A,growth,-1.85776,Kidney,Carcinoma,Clear_Cell_Renal_Cell_Carcinoma,3,yes
769-P,cmpd X,cmpd B,growth,-0.5334,Kidney,Carcinoma,Clear_Cell_Renal_Cell_Carcinoma,3,yes
769-P,cmpd X,cmpd C,growth,-0.52597,Kidney,Carcinoma,Clear_Cell_Renal_Cell_Carcinoma,3,yes
769-P,cmpd X,cmpd D,growth,-1.08672,Kidney,Carcinoma,Clear_Cell_Renal_Cell_Carcinoma,3,yes
769-P,cmpd X,cmpd E,growth,-0.56153,Kidney,Carcinoma,Clear_Cell_Renal_Cell_Carcinoma,3,yes
769-P,cmpd X,cmpd F,growth,-0.75727,Kidney,Carcinoma,Clear_Cell_Renal_Cell_Carcinoma,3,yes
769-P,cmpd Y,cmpd A,growth,-0.33699,Kidney,Carcinoma,Clear_Cell_Renal_Cell_Carcinoma,3,yes
769-P,cmpd Y,cmpd B,growth,-1.07684,Kidney,Carcinoma,Clear_Cell_Renal_Cell_Carcinoma,3,yes
769-P,cmpd Y,cmpd C,growth,-0.258,Kidney,Carcinoma,Clear_Cell_Renal_Cell_Carcinoma,3,yes
769-P,cmpd Y,cmpd D,growth,-0.37964,Kidney,Carcinoma,Clear_Cell_Renal_Cell_Carcinoma,3,yes
769-P,cmpd Y,cmpd E,growth,-0.26761,Kidney,Carcinoma,Clear_Cell_Renal_Cell_Carcinoma,3,yes
769-P,cmpd Y,cmpd F,growth,-0.74227,Kidney,Carcinoma,Clear_Cell_Renal_Cell_Carcinoma,3,yes
A2780,cmpd X,cmpd A,viability,-0.06083,Ovary,Carcinoma,Adenocarcinoma,7,yes
A2780,cmpd X,cmpd B,viability,-0.03703,Ovary,Carcinoma,Adenocarcinoma,7,yes
A2780,cmpd X,cmpd C,viability,-0.13346,Ovary,Carcinoma,Adenocarcinoma,7,yes
A2780,cmpd X,cmpd D,viability,-0.02393,Ovary,Carcinoma,Adenocarcinoma,7,yes
A2780,cmpd X,cmpd E,viability,-0.71157,Ovary,Carcinoma,Adenocarcinoma,7,yes
A2780,cmpd X,cmpd F,viability,-0.79608,Ovary,Carcinoma,Adenocarcinoma,7,yes
A2780,cmpd Y,cmpd A,viability,-2.76485,Ovary,Carcinoma,Adenocarcinoma,7,yes
A2780,cmpd Y,cmpd B,viability,-2.69231,Ovary,Carcinoma,Adenocarcinoma,7,yes
A2780,cmpd Y,cmpd C,viability,-0.63215,Ovary,Carcinoma,Adenocarcinoma,7,yes
A2780,cmpd Y,cmpd D,viability,-0.2501,Ovary,Carcinoma,Adenocarcinoma,7,yes
A2780,cmpd Y,cmpd E,viability,-0.18747,Ovary,Carcinoma,Adenocarcinoma,7,yes
A2780,cmpd Y,cmpd F,viability,-0.29711,Ovary,Carcinoma,Adenocarcinoma,7,yes
A2780,cmpd X,cmpd A,growth,-0.32318,Ovary,Carcinoma,Adenocarcinoma,7,yes
A2780,cmpd X,cmpd B,growth,-0.33472,Ovary,Carcinoma,Adenocarcinoma,7,yes
A2780,cmpd X,cmpd C,growth,-0.5724,Ovary,Carcinoma,Adenocarcinoma,7,yes
A2780,cmpd X,cmpd D,growth,-0.40474,Ovary,Carcinoma,Adenocarcinoma,7,yes
A2780,cmpd X,cmpd E,growth,-0.90164,Ovary,Carcinoma,Adenocarcinoma,7,yes
A2780,cmpd X,cmpd F,growth,-1.3535,Ovary,Carcinoma,Adenocarcinoma,7,yes
A2780,cmpd Y,cmpd A,growth,-1.30947,Ovary,Carcinoma,Adenocarcinoma,7,yes
A2780,cmpd Y,cmpd B,growth,-1.76114,Ovary,Carcinoma,Adenocarcinoma,7,yes
A2780,cmpd Y,cmpd C,growth,-0.35504,Ovary,Carcinoma,Adenocarcinoma,7,yes
A2780,cmpd Y,cmpd D,growth,-0.19917,Ovary,Carcinoma,Adenocarcinoma,7,yes
A2780,cmpd Y,cmpd E,growth,-0.17562,Ovary,Carcinoma,Adenocarcinoma,7,yes
A2780,cmpd Y,cmpd F,growth,-0.34229,Ovary,Carcinoma,Adenocarcinoma,7,yes
A-375,cmpd X,cmpd A,viability,-6.66862,Skin,Malignant_Melanoma,Ns,2,yes
A-375,cmpd X,cmpd B,viability,-1.35151,Skin,Malignant_Melanoma,Ns,2,yes
A-375,cmpd X,cmpd C,viability,-1.01107,Skin,Malignant_Melanoma,Ns,2,yes
A-375,cmpd X,cmpd D,viability,-1.30073,Skin,Malignant_Melanoma,Ns,2,yes
A-375,cmpd X,cmpd E,viability,-1.51016,Skin,Malignant_Melanoma,Ns,2,yes
A-375,cmpd X,cmpd F,viability,-4.03675,Skin,Malignant_Melanoma,Ns,2,yes
A-375,cmpd Y,cmpd A,viability,-3.96305,Skin,Malignant_Melanoma,Ns,2,yes
A-375,cmpd Y,cmpd B,viability,-4.40814,Skin,Malignant_Melanoma,Ns,2,yes
A-375,cmpd Y,cmpd C,viability,-0.76902,Skin,Malignant_Melanoma,Ns,2,yes
A-375,cmpd Y,cmpd D,viability,-0.38171,Skin,Malignant_Melanoma,Ns,2,yes
A-375,cmpd Y,cmpd E,viability,-0.45653,Skin,Malignant_Melanoma,Ns,2,yes
A-375,cmpd Y,cmpd F,viability,-1.99029,Skin,Malignant_Melanoma,Ns,2,yes
A-375,cmpd X,cmpd A,growth,-5.51599,Skin,Malignant_Melanoma,Ns,2,yes
A-375,cmpd X,cmpd B,growth,-1.28656,Skin,Malignant_Melanoma,Ns,2,yes
A-375,cmpd X,cmpd C,growth,-0.91403,Skin,Malignant_Melanoma,Ns,2,yes
A-375,cmpd X,cmpd D,growth,-1.29214,Skin,Malignant_Melanoma,Ns,2,yes
A-375,cmpd X,cmpd E,growth,-1.35778,Skin,Malignant_Melanoma,Ns,2,yes
A-375,cmpd X,cmpd F,growth,-4.03377,Skin,Malignant_Melanoma,Ns,2,yes
A-375,cmpd Y,cmpd A,growth,-4.18577,Skin,Malignant_Melanoma,Ns,2,yes
A-375,cmpd Y,cmpd B,growth,-3.17041,Skin,Malignant_Melanoma,Ns,2,yes
A-375,cmpd Y,cmpd C,growth,-0.61987,Skin,Malignant_Melanoma,Ns,2,yes
A-375,cmpd Y,cmpd D,growth,-0.34076,Skin,Malignant_Melanoma,Ns,2,yes
A-375,cmpd Y,cmpd E,growth,-0.44621,Skin,Malignant_Melanoma,Ns,2,yes
A-375,cmpd Y,cmpd F,growth,-2.49572,Skin,Malignant_Melanoma,Ns,2,yes
A427,cmpd X,cmpd A,viability,-3.02536,Lung,Carcinoma,#N/A,16.5,yes
A427,cmpd X,cmpd A,growth,-2.58962,Lung,Carcinoma,#N/A,16.5,yes
A427,cmpd X,cmpd B,viability,-0.74459,Lung,Carcinoma,#N/A,16.5,yes
A427,cmpd X,cmpd C,viability,-2.42996,Lung,Carcinoma,#N/A,16.5,yes
A427,cmpd X,cmpd D,viability,-1.6473,Lung,Carcinoma,#N/A,16.5,yes
A427,cmpd X,cmpd E,viability,-4.22594,Lung,Carcinoma,#N/A,16.5,yes
A427,cmpd X,cmpd F,viability,-3.04236,Lung,Carcinoma,#N/A,16.5,yes
A427,cmpd Y,cmpd A,viability,-2.86435,Lung,Carcinoma,#N/A,16.5,yes
A427,cmpd Y,cmpd B,viability,-2.26802,Lung,Carcinoma,#N/A,16.5,yes
A427,cmpd Y,cmpd C,viability,-2.6209,Lung,Carcinoma,#N/A,16.5,yes
A427,cmpd Y,cmpd D,viability,-0.109,Lung,Carcinoma,#N/A,16.5,yes
A427,cmpd Y,cmpd E,viability,-2.43005,Lung,Carcinoma,#N/A,16.5,yes
A427,cmpd Y,cmpd F,viability,-3.04406,Lung,Carcinoma,#N/A,16.5,yes
A427,cmpd X,cmpd B,growth,-0.91489,Lung,Carcinoma,#N/A,16.5,yes
A427,cmpd X,cmpd C,growth,-1.81974,Lung,Carcinoma,#N/A,16.5,yes
A427,cmpd X,cmpd D,growth,-2.03617,Lung,Carcinoma,#N/A,16.5,yes
A427,cmpd X,cmpd E,growth,-3.16564,Lung,Carcinoma,#N/A,16.5,yes
A427,cmpd X,cmpd F,growth,-2.48123,Lung,Carcinoma,#N/A,16.5,yes
A427,cmpd Y,cmpd A,growth,-1.38215,Lung,Carcinoma,#N/A,16.5,yes
A427,cmpd Y,cmpd B,growth,-1.40021,Lung,Carcinoma,#N/A,16.5,yes
A427,cmpd Y,cmpd C,growth,-1.35765,Lung,Carcinoma,#N/A,16.5,yes
A427,cmpd Y,cmpd D,growth,-0.14822,Lung,Carcinoma,#N/A,16.5,yes
A427,cmpd Y,cmpd E,growth,-1.688,Lung,Carcinoma,#N/A,16.5,yes
A427,cmpd Y,cmpd F,growth,-1.79562,Lung,Carcinoma,#N/A,16.5,yes
A-498,cmpd X,cmpd A,viability,-3.14919,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
A-498,cmpd X,cmpd B,viability,-1.64797,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
A-498,cmpd X,cmpd C,viability,-1.75047,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
A-498,cmpd X,cmpd D,viability,-3.46535,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
A-498,cmpd X,cmpd E,viability,-2.29748,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
A-498,cmpd X,cmpd F,viability,-2.25356,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
A-498,cmpd Y,cmpd A,viability,-1.02934,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
A-498,cmpd Y,cmpd B,viability,-1.07041,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
A-498,cmpd Y,cmpd C,viability,-0.9104,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
A-498,cmpd Y,cmpd D,viability,-0.09913,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
A-498,cmpd Y,cmpd E,viability,-0.5877,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
A-498,cmpd Y,cmpd F,viability,-1.09388,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
A-498,cmpd X,cmpd A,growth,-3.8039,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
A-498,cmpd X,cmpd B,growth,-1.69488,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
A-498,cmpd X,cmpd C,growth,-1.69868,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
A-498,cmpd X,cmpd D,growth,-4.50886,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
A-498,cmpd X,cmpd E,growth,-2.81148,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
A-498,cmpd X,cmpd F,growth,-2.67161,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
A-498,cmpd Y,cmpd A,growth,-1.26428,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
A-498,cmpd Y,cmpd B,growth,-1.34473,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
A-498,cmpd Y,cmpd C,growth,-1.31524,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
A-498,cmpd Y,cmpd D,growth,-0.10507,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
A-498,cmpd Y,cmpd E,growth,-0.63307,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
A-498,cmpd Y,cmpd F,growth,-1.42129,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
A-549,cmpd X,cmpd A,viability,-3.17746,Lung,Carcinoma,Non_Small_Cell_Carcinoma,16.5,yes
A-549,cmpd X,cmpd A,growth,-2.45253,Lung,Carcinoma,Non_Small_Cell_Carcinoma,16.5,yes
A-549,cmpd X,cmpd B,viability,-1.18625,Lung,Carcinoma,Non_Small_Cell_Carcinoma,16.5,yes
A-549,cmpd X,cmpd C,viability,-1.47775,Lung,Carcinoma,Non_Small_Cell_Carcinoma,16.5,yes
A-549,cmpd X,cmpd D,viability,-0.74025,Lung,Carcinoma,Non_Small_Cell_Carcinoma,16.5,yes
A-549,cmpd X,cmpd E,viability,-1.61374,Lung,Carcinoma,Non_Small_Cell_Carcinoma,16.5,yes
A-549,cmpd X,cmpd F,viability,-2.52445,Lung,Carcinoma,Non_Small_Cell_Carcinoma,16.5,yes
A-549,cmpd Y,cmpd A,viability,-2.4672,Lung,Carcinoma,Non_Small_Cell_Carcinoma,16.5,yes
A-549,cmpd Y,cmpd B,viability,-3.87574,Lung,Carcinoma,Non_Small_Cell_Carcinoma,16.5,yes
A-549,cmpd Y,cmpd C,viability,-0.75749,Lung,Carcinoma,Non_Small_Cell_Carcinoma,16.5,yes
A-549,cmpd Y,cmpd D,viability,-0.20416,Lung,Carcinoma,Non_Small_Cell_Carcinoma,16.5,yes
A-549,cmpd Y,cmpd E,viability,-0.96796,Lung,Carcinoma,Non_Small_Cell_Carcinoma,16.5,yes
A-549,cmpd Y,cmpd F,viability,-2.21704,Lung,Carcinoma,Non_Small_Cell_Carcinoma,16.5,yes
A-549,cmpd X,cmpd B,growth,-1.06423,Lung,Carcinoma,Non_Small_Cell_Carcinoma,16.5,yes
A-549,cmpd X,cmpd C,growth,-0.97198,Lung,Carcinoma,Non_Small_Cell_Carcinoma,16.5,yes
A-549,cmpd X,cmpd D,growth,-0.40793,Lung,Carcinoma,Non_Small_Cell_Carcinoma,16.5,yes
A-549,cmpd X,cmpd E,growth,-1.02318,Lung,Carcinoma,Non_Small_Cell_Carcinoma,16.5,yes
A-549,cmpd X,cmpd F,growth,-2.03302,Lung,Carcinoma,Non_Small_Cell_Carcinoma,16.5,yes
A-549,cmpd Y,cmpd A,growth,-1.24105,Lung,Carcinoma,Non_Small_Cell_Carcinoma,16.5,yes
A-549,cmpd Y,cmpd B,growth,-2.50086,Lung,Carcinoma,Non_Small_Cell_Carcinoma,16.5,yes
A-549,cmpd Y,cmpd C,growth,-0.59044,Lung,Carcinoma,Non_Small_Cell_Carcinoma,16.5,yes
A-549,cmpd Y,cmpd D,growth,-0.12688,Lung,Carcinoma,Non_Small_Cell_Carcinoma,16.5,yes
A-549,cmpd Y,cmpd E,growth,-0.5377,Lung,Carcinoma,Non_Small_Cell_Carcinoma,16.5,yes
A-549,cmpd Y,cmpd F,growth,-1.7141,Lung,Carcinoma,Non_Small_Cell_Carcinoma,16.5,yes
ACHN,cmpd X,cmpd A,viability,-2.07898,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
ACHN,cmpd X,cmpd B,viability,-1.11546,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
ACHN,cmpd X,cmpd C,viability,-1.86226,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
ACHN,cmpd X,cmpd D,viability,-3.03417,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
ACHN,cmpd X,cmpd E,viability,-2.76,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
ACHN,cmpd X,cmpd F,viability,-2.50283,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
ACHN,cmpd Y,cmpd A,viability,-2.91063,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
ACHN,cmpd Y,cmpd B,viability,-2.66363,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
ACHN,cmpd Y,cmpd C,viability,-0.60714,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
ACHN,cmpd Y,cmpd D,viability,-0.94313,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
ACHN,cmpd Y,cmpd E,viability,-0.27619,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
ACHN,cmpd Y,cmpd F,viability,-1.18951,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
ACHN,cmpd X,cmpd A,growth,-1.4286,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
ACHN,cmpd X,cmpd B,growth,-0.8565,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
ACHN,cmpd X,cmpd C,growth,-1.53442,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
ACHN,cmpd X,cmpd D,growth,-2.42854,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
ACHN,cmpd X,cmpd E,growth,-2.03205,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
ACHN,cmpd X,cmpd F,growth,-1.91526,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
ACHN,cmpd Y,cmpd A,growth,-2.06855,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
ACHN,cmpd Y,cmpd B,growth,-1.90237,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
ACHN,cmpd Y,cmpd C,growth,-0.42153,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
ACHN,cmpd Y,cmpd D,growth,-0.67985,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
ACHN,cmpd Y,cmpd E,growth,-0.22622,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
ACHN,cmpd Y,cmpd F,growth,-0.89482,Kidney,Carcinoma,Renal_Cell_Carcinoma,3,yes
AGS,cmpd X,cmpd B,viability,-1.02536,Stomach,Carcinoma,Adenocarcinoma,5,yes
AGS,cmpd X,cmpd C,viability,-1.26061,Stomach,Carcinoma,Adenocarcinoma,5,yes
AGS,cmpd X,cmpd D,viability,-1.54449,Stomach,Carcinoma,Adenocarcinoma,5,yes
AGS,cmpd X,cmpd E,viability,-1.1466,Stomach,Carcinoma,Adenocarcinoma,5,yes
AGS,cmpd X,cmpd F,viability,-1.5781,Stomach,Carcinoma,Adenocarcinoma,5,yes
AGS,cmpd Y,cmpd A,viability,-0.9006,Stomach,Carcinoma,Adenocarcinoma,5,yes
AGS,cmpd Y,cmpd B,viability,-2.7839,Stomach,Carcinoma,Adenocarcinoma,5,yes
AGS,cmpd Y,cmpd C,viability,-0.38358,Stomach,Carcinoma,Adenocarcinoma,5,yes
AGS,cmpd Y,cmpd D,viability,-0.23288,Stomach,Carcinoma,Adenocarcinoma,5,yes
AGS,cmpd Y,cmpd E,viability,-1.60311,Stomach,Carcinoma,Adenocarcinoma,5,yes
AGS,cmpd Y,cmpd F,viability,-2.40572,Stomach,Carcinoma,Adenocarcinoma,5,yes
AGS,cmpd X,cmpd B,growth,-1.3386,Stomach,Carcinoma,Adenocarcinoma,5,yes
AGS,cmpd X,cmpd C,growth,-1.11417,Stomach,Carcinoma,Adenocarcinoma,5,yes
AGS,cmpd X,cmpd D,growth,-1.31152,Stomach,Carcinoma,Adenocarcinoma,5,yes
AGS,cmpd X,cmpd E,growth,-1.13748,Stomach,Carcinoma,Adenocarcinoma,5,yes
AGS,cmpd X,cmpd F,growth,-1.60122,Stomach,Carcinoma,Adenocarcinoma,5,yes
AGS,cmpd Y,cmpd A,growth,-0.58883,Stomach,Carcinoma,Adenocarcinoma,5,yes
AGS,cmpd Y,cmpd B,growth,-1.90129,Stomach,Carcinoma,Adenocarcinoma,5,yes
AGS,cmpd Y,cmpd C,growth,-0.23158,Stomach,Carcinoma,Adenocarcinoma,5,yes
AGS,cmpd Y,cmpd D,growth,-0.12523,Stomach,Carcinoma,Adenocarcinoma,5,yes
AGS,cmpd Y,cmpd E,growth,-0.96359,Stomach,Carcinoma,Adenocarcinoma,5,yes
AGS,cmpd Y,cmpd F,growth,-1.36172,Stomach,Carcinoma,Adenocarcinoma,5,yes
AGS,cmpd X,cmpd A,viability,-1.74103,Stomach,Carcinoma,Adenocarcinoma,5,yes
AGS,cmpd X,cmpd A,growth,-1.60001,Stomach,Carcinoma,Adenocarcinoma,5,yes
AMO-1,cmpd X,cmpd A,viability,-3.50323,Haem Or Lymph,Lymphoid_Neoplasm,Plasma_Cell_Myeloma,43,yes
