X1,mgi_symbol,transcript_biotype,P2_Roska,P4_Roska,P6_Roska,P10_Roska,P2_KO,P4_KO,P6_KO,P10_KO
ENSMUSG00000000782,Tcf7,protein_coding,3.430613380390616,3.672690157841379,3.7697765914116363,1.9696111222772594,2.48050266923081,1.8467578404686376,1.5422797013413438,1.5527736429911347
ENSMUSG00000000804,Usp32,protein_coding,8.120657568319938,7.947906624553312,8.34971180827351,8.42227187781096,5.909252469855815,6.754319813148335,6.308359051376536,6.575908134660978
ENSMUSG00000001173,Ocrl,protein_coding,7.1616029213240004,7.232933099268526,7.334604874143609,7.532943264862829,4.238951580310385,5.692264978298045,5.209375820700687,5.6805500697515825
ENSMUSG00000001542,Ell2,protein_coding,3.2659253625966262,3.047967205897149,3.7186246404857117,4.215873570992019,2.1784788809168205,2.126650526649887,1.707718657486173,2.3868439836967528
ENSMUSG00000001627,Ifrd1,protein_coding,6.580295609095463,6.231065693329524,6.986544341087137,7.149070334230261,4.8365128651069496,5.458382788536261,4.993079848672153,5.767438551385015
ENSMUSG00000001666,Ddt,protein_coding,3.8220022122211277,3.700895302045186,4.256265091035972,4.413618469236728,2.0374162165616365,2.4416318454850314,1.7592409123035677,2.8585864239130485
ENSMUSG00000001891,Ugp2,protein_coding,5.245761543812847,5.54252597976713,5.440122809731532,4.894147778705032,4.378861644551438,4.806547451550091,3.5221550231534673,3.9846696563487636
ENSMUSG00000001901,Kcnh6,protein_coding,6.989956924868846,6.777241351737354,7.134431152992856,7.759555458297881,4.654370974822284,3.8525382505328944,5.294682507711666,6.610984654624222
ENSMUSG00000002007,Srpk3,protein_coding,3.5669092119261605,3.5928470604392895,3.891074171632001,4.10251936771187,2.8719566488365094,1.2714742016047416,2.9249467646662803,3.5114373401999197
ENSMUSG00000002028,Kmt2a,protein_coding,9.584290997789747,9.396073666986165,9.543572605579898,9.969800518689933,6.758295334264241,7.616721832003954,7.386873661986476,7.5875976615688625
ENSMUSG00000002107,Celf2,protein_coding,8.79982213576918,9.049391567608208,8.824483371073525,8.833595752703511,6.48809987590268,7.431897372800553,6.656819060640911,6.330145129954834
ENSMUSG00000002228,Ppm1j,protein_coding,4.90232268573274,3.0656956763570062,5.1869220286902005,6.063065444506269,1.56579910927729,1.4211441267466032,3.2136564824876928,5.337340829229396
ENSMUSG00000002341,Ncan,protein_coding,5.612742957176791,6.505525495446814,3.3212199260134794,1.7721772791325674,2.422275804157073,3.279832875621636,3.5880102163485708,3.4518601673798206
ENSMUSG00000002413,Braf,protein_coding,8.740127697821602,8.68953588946288,8.683580322716852,8.97266155112072,6.120447335881951,6.687978458833841,6.549516210396697,7.005123181609783
ENSMUSG00000002459,Rgs20,protein_coding,4.393414850471935,3.5530994991709344,5.283492654599035,6.8302546027198145,2.27738131734332,1.2427564045248434,1.6340508894010781,3.223830430957331
ENSMUSG00000002661,Alkbh7,protein_coding,4.4617836391366925,4.185880045771408,4.860722361921471,4.866971442474279,2.649924151062155,2.890197296870801,2.8992788778253664,3.4850457243772768
ENSMUSG00000002881,Nab1,protein_coding,5.183500952318866,5.102609867418428,5.454810668960354,6.088069623395574,3.001488547368012,4.227640223693054,3.7187725374117826,4.038723890498317
ENSMUSG00000002897,Il17ra,protein_coding,3.184897970410153,2.4569654928876696,1.6827669258640696,1.5847955791457446,0,2.346754415215641,1.777430146417799,2.531965745258899
ENSMUSG00000003119,Cdk12,protein_coding,7.126784043674432,7.349146532036115,7.011916055210798,7.1038053706792494,4.70299302824666,5.578095880793283,5.1319694146826675,5.1330932334054795
ENSMUSG00000003226,Ranbp2,protein_coding,8.289761999732855,8.191268780581643,8.376551932512879,8.338395875448404,6.422479765127785,7.527438910603364,6.336279863022447,6.420549961705901
ENSMUSG00000003282,Plag1,protein_coding,5.579789869193915,5.490268870504737,5.479179648910632,4.968586364768686,3.089617960791782,4.1547234756016636,3.3949219159372443,3.5329776068238328
ENSMUSG00000003452,Bicd1,protein_coding,6.768247792665681,6.962884183058587,6.901184884092713,6.431601165981476,2.6522044425094418,4.5912611479101635,3.5910365295438584,3.4481001456876603
ENSMUSG00000003847,Nfat5,protein_coding,9.176227681446345,9.226163841889626,9.223595600467325,9.261900200513306,6.097605478473084,7.350309121412191,6.8811427469274875,6.755495404760758
ENSMUSG00000003929,Zfp81,protein_coding,6.585326963152963,6.4489106317696985,6.305782494543354,6.312717159986967,4.203433694064718,5.520455070765733,4.407932656046827,4.508111359162016
ENSMUSG00000004085,Map3k20,protein_coding,3.8434952046242223,4.083244930018664,2.7135878768448074,3.224254290208043,1.5924471316434248,2.5786088687251802,1.694240561876772,1.759339270965415
ENSMUSG00000004110,Cacna1e,protein_coding,3.2834234029726495,4.505799847187747,1.705780392788204,1.8140918286629146,2.4850624332860898,1.2598564191595987,1.0833173639096685,1.9542884582904032
ENSMUSG00000004113,Cacna1b,protein_coding,6.114489215182277,6.633271201131427,4.316714101759187,3.714888474722465,2.22724879020549,3.086571172749303,2.7399267686581226,2.3432168410517615
ENSMUSG00000004317,Clcn5,protein_coding,4.59212903400457,4.599949830853648,4.03982044185191,4.600680293854254,2.3797643518715645,4.129589888082191,3.1156780366710386,2.8142625874041616
ENSMUSG00000004319,Clcn3,protein_coding,8.851553787006596,8.583926631798523,9.182659828291108,9.621840344971705,6.153618418116077,7.12913042577198,7.116074048638432,7.676871467929829
ENSMUSG00000004328,Hif3a,protein_coding,4.742733627087843,5.419469402646485,3.6229718149964545,1.1039238986254896,3.083244664218157,3.1483685854934955,2.1365596229883925,1.6568408756728445
ENSMUSG00000004364,Cul3,protein_coding,8.779066321069958,8.575393612217285,8.991416225715767,8.915799882376053,6.639467836981122,7.148606856366441,6.402571867810575,6.793085235146857
ENSMUSG00000005089,Slc1a2,protein_coding,10.770119772323417,10.465382377367474,10.919237332585608,11.44905587538522,7.164727258609619,8.243702150581534,8.369769139344248,8.764024357359064
ENSMUSG00000005225,Plekha8,protein_coding,5.63346070632304,5.629675175708744,5.831918330519124,6.719975975941211,2.78844308250463,4.724602014994132,4.40051515330589,4.8350995903448135
ENSMUSG00000005251,Ripk4,protein_coding,1.9323982172062282,0.9064380565171889,2.6757377983784147,3.058306302616697,0.2427387716736093,0.16214159151632365,0.6549977327293492,0.3160397585807193
ENSMUSG00000005534,Insr,protein_coding,8.008154127112327,8.070016611650905,7.9104627789860915,7.903061962342999,5.715353610972871,6.813428203541619,6.363249099470254,6.167245115816081
ENSMUSG00000005553,Atp4a,protein_coding,4.493524471032749,3.8167967352067076,3.6235940640106574,0.3872364099832424,1.1907142674139066,1.4339034843863177,1.0000665620100309,1.136900556762162
ENSMUSG00000005583,Mef2c,protein_coding,6.540248109753544,6.059688146348466,7.073477442146297,7.586598141082585,4.360295816666053,3.6723294371401756,6.044013982522237,7.410641460449716
ENSMUSG00000005802,Slc30a4,protein_coding,6.3303892628983665,6.1413407014981685,6.41044366434045,6.415259809077731,3.78833540148205,5.636398498736062,4.472206281250923,4.788708403971627
ENSMUSG00000005871,Apc,protein_coding,9.099392600932406,9.240623122216764,8.711651405272358,8.797495034486126,6.428963083759517,7.882028376646952,7.1667709516486715,6.994935491852414
ENSMUSG00000005886,Ncoa2,protein_coding,8.676364082944032,8.542625018977054,8.881648831554255,8.836754487712486,6.1750664876982135,6.889968999626098,6.507854096345904,6.592070973348419
ENSMUSG00000006007,Pdc,protein_coding,9.892802561706807,9.04177045875842,10.411317924483559,10.406867754151895,5.078407521764621,6.109182274828711,6.984159763576511,8.693215139473173
ENSMUSG00000006262,Mob1b,protein_coding,7.146957810549331,6.983618661678795,7.24733260357788,7.49333883248493,3.881720139481167,5.476906398261813,4.377892309960759,4.542782216756877
ENSMUSG00000006567,Atp7b,protein_coding,5.213636516266192,4.6521119871470775,4.98098219420969,4.563498637446054,2.2691459408507546,2.9357637418151463,3.4115706820344216,3.319795670884358
ENSMUSG00000006586,Runx1t1,protein_coding,5.775722662160084,6.963460971785897,4.717722363617943,3.911919293258543,2.466164782138269,3.256220048327658,3.267295600005063,3.7039887817324324
ENSMUSG00000006649,Nphs1,protein_coding,2.518764676456246,2.090847370978512,2.9450224106990626,3.370401440917793,0,0.9756376551757556,1.7721068658239694,2.962323985041656
ENSMUSG00000006678,Pola1,protein_coding,4.512694888685017,4.792155532159958,4.70123213004822,4.677882069812749,3.2439969021843016,4.198853038010345,2.3850509333855783,3.1834867446949113
ENSMUSG00000007476,Lrrc8a,protein_coding,4.972867119980851,5.061006422538511,4.749700326126685,4.776082629150984,2.304071614386291,3.103014023688256,2.9299052980224336,3.3461772918176234
ENSMUSG00000007617,Homer1,protein_coding,5.524527843337847,5.395809054754548,5.502575623071591,6.030532656951958,2.1639811580960515,4.332343079469715,3.2624905581496098,3.7817808456642923
ENSMUSG00000007812,Zfp655,protein_coding,6.160082116529101,6.185017870991198,6.113863867302175,6.0416585790421005,4.021833638285306,5.171175780820047,4.201899396931803,4.5991497776539765
ENSMUSG00000007836,Hnrnpa0,protein_coding,8.579642062477802,8.6501945166143,8.518791093518528,8.040277993818039,6.577187532829173,6.615738879276706,5.7072627495782635,5.459576609337826
ENSMUSG00000007908,Hmgcll1,protein_coding,3.871933895002837,4.132043670602506,4.128136710754426,4.873168272091048,0.9382359283817995,1.8520752505247389,1.33095894457112,1.4201680383238058
ENSMUSG00000007989,Fzd3,protein_coding,5.285997555695128,5.606041407863851,4.3064894874447965,3.173807161787122,2.1639811580960515,4.325471810262263,2.2213595364181917,1.9207241425409123
ENSMUSG00000008028,1700008O03Rik,protein_coding,0.5374790160019123,1.6017069129244041,1.304525807753243,1.157273349276366,2.3873934874094793,0.0670587213156954,1.7841510297079972,2.346831890792193
ENSMUSG00000008206,Cers4,protein_coding,8.201153878019362,7.9598080056444145,8.25893565329816,8.634749583263767,5.118153720968939,5.585561215138018,6.443968806184864,7.531235781217116
ENSMUSG00000008398,Elk3,protein_coding,3.768561054952543,3.610321155761457,3.8856446119622525,5.172365449020644,3.1723220535996712,3.090605766355982,2.7370145560180426,3.448499238039056
ENSMUSG00000008489,Elavl2,protein_coding,4.809061361917148,5.943667894415684,3.1095473810488605,1.6994460831549183,1.9916986745493588,2.603512675855107,1.270795113852332,1.1285241828450487
ENSMUSG00000008658,Rbfox1,protein_coding,4.291598934811977,4.894924853170911,2.5949945458170562,2.2890982018451846,3.0690832548844336,1.7820890726492098,1.1706524366101887,1.2741287963880303
ENSMUSG00000008730,Hipk1,protein_coding,7.726218630584431,7.706488332746827,7.9576580297604025,7.886974704000982,5.82425569920953,6.428711602701098,5.870619667232595,5.6068588241072534
ENSMUSG00000008822,Acyp1,protein_coding,4.976430254515446,4.946189087328099,5.4374396337051225,5.92723075119126,3.142695947264423,3.291291532361904,3.505971726655133,3.3493575804812066
ENSMUSG00000009108,Gnat2,protein_coding,10.141281092988125,9.485066678194158,10.43695878891969,11.037408316118468,7.868662806302408,8.20444849588868,9.375314300705442,10.758643554229122
ENSMUSG00000009207,Lnpk,protein_coding,6.621960001196503,6.570775704709868,6.471757465911583,6.738842768797654,2.893547298616861,4.710770482930727,3.4891832228340345,4.048746782960309
ENSMUSG00000009292,Trpm2,protein_coding,4.304596086203308,3.505506342800994,4.000997402527986,4.451378252572106,1.3021108037388287,2.07188801168997,2.6111671215470658,2.729639010689954
ENSMUSG00000009418,Nav1,protein_coding,7.545920702460672,7.65913231481471,7.834479161729413,8.753156736398884,4.102476314989091,4.673503462560082,4.5950182108779005,4.893556057837458
ENSMUSG00000009569,Mrtfb,protein_coding,5.876729015232071,5.67466370074593,5.338427531720085,4.695560299150024,3.510587759929303,4.3154849111637175,3.3729170462409335,3.156474106553522
ENSMUSG00000009628,Tex15,protein_coding,1.8562023016721472,2.0540220704768215,1.8406225012861708,1.8855523874306102,0,1.0499946850255242,0,1.3924508577822314
ENSMUSG00000009905,Kdsr,protein_coding,6.287955309324587,6.132127092605208,6.539167245297772,7.3063504442914535,4.4723632667378705,4.922965961062849,4.596628616460657,4.907376926166719
ENSMUSG00000010476,Ebf3,protein_coding,7.641076070769166,8.28967681608843,4.43971850356538,1.7479618915291193,3.0127809094453593,4.891741540489359,3.8578921807262145,1.6568408756728445
ENSMUSG00000010721,Lmbr1,protein_coding,5.357808475141867,5.597729177567199,5.249410761135969,5.351410470784501,3.338336915277752,4.004185857664035,3.714976713118108,3.630686323063826
ENSMUSG00000010830,Kdelr3,protein_coding,5.601788510809526,5.359323691991304,5.415975376377546,5.337238026782213,3.44527584693142,2.934405294548997,4.253478771519651,4.548473835103377
ENSMUSG00000011831,Evi5,protein_coding,6.433626538474826,6.352718510122102,6.599300281959703,6.422831352598363,4.007943802669405,5.204632733589057,4.455236642874982,4.339990058895889
ENSMUSG00000012422,Tmem167,protein_coding,7.387997191955785,7.37070084734192,7.635808539892766,7.770362677276366,5.3569996762689005,6.430276680965817,5.846933851728724,5.767855646552055
ENSMUSG00000012429,Mplkip,protein_coding,5.237925229876698,5.297677012729943,5.248743228942128,5.28326564372935,4.193371393557774,3.8420028364896393,3.2287753938977004,2.9457326404988926
ENSMUSG00000012640,Zfp715,protein_coding,6.24295684557637,5.998642973152743,6.3623988710211306,6.335335808506492,3.521029216377293,5.26403909051303,4.381977599614334,4.439153398835541
ENSMUSG00000013089,Etv5,protein_coding,3.956119571706001,4.129040714226905,3.8452230238848295,5.8039585340227156,5.420100823236777,4.749353718026442,3.4231901943059437,3.4277628024226385
ENSMUSG00000013662,Atad1,protein_coding,7.848470740380445,7.720032855862896,8.077961753557565,8.182272623567442,5.367298475827946,6.588662510316625,5.760520444257751,6.107603330154
ENSMUSG00000013663,Pten,protein_coding,8.081894946360801,8.010109209426606,8.355589764942096,8.422460363381038,5.306546301908974,6.405247864207544,5.612306335163994,5.782594558298761
ENSMUSG00000013846,St3gal1,protein_coding,4.591877501601662,4.293724874007615,4.725038209418847,5.322298520470352,4.191193674989755,4.196460495788746,3.746112516608855,3.2457544749255467
ENSMUSG00000013878,Rnf170,protein_coding,4.518350781813535,4.429407099872359,4.6952563948196415,4.6626253351441465,2.5383935070493084,3.8472254001821518,3.5336143816453167,3.651298010662111
ENSMUSG00000014075,Tctex1d2,protein_coding,4.597748241923011,4.273993880793896,4.9642862376405645,5.262914773108699,2.4148293892907016,3.2617223641214417,3.0909345322853,3.870737644506109
ENSMUSG00000014245,Pigl,protein_coding,4.051772046241872,3.742578051876283,4.0731324339678405,4.004325453555557,1.0699911745448314,2.7283593057531097,2.678395172099539,2.806407289325623
ENSMUSG00000014592,Camta1,protein_coding,8.993363661219263,8.884604261307745,9.005175115505313,8.962116511108725,6.765471012643156,7.26056234990436,7.0566086641864825,7.090792197434336
ENSMUSG00000014782,Plekhg4,protein_coding,2.4204583454872415,3.0478678853917627,1.8125490064226826,2.4981337479365746,1.0509025291915153,0.4378957766453071,0.3728270905138161,0.784080642135735
ENSMUSG00000014907,Naf1,protein_coding,3.2669972519025294,3.3553794533875196,3.5799528695388343,3.7314274654217376,2.160781537080583,3.3322852711650404,1.694262736627997,2.376270033702913
ENSMUSG00000014932,Yes1,protein_coding,6.0666579953559525,6.047784226759738,6.11903546427941,6.1153921456657825,3.554079268464669,5.209278717145389,4.209083265377983,4.408141199310246
ENSMUSG00000015002,Efr3a,protein_coding,6.96938883301668,6.716356037197807,7.0860825326255865,7.463593416162675,4.523805818615743,5.679458370549365,5.00954648487402,5.410043240609844
ENSMUSG00000015222,Map2,protein_coding,9.119967773132666,9.02753896035065,9.434416289267784,10.042231456538289,6.951760559433258,7.709616413233902,7.814474600605661,8.551396198079553
ENSMUSG00000015342,Xk,protein_coding,5.187944973439682,5.462359418989751,5.072655823987999,4.636851337777793,3.298750102594713,3.92983124778032,3.1684171922950393,2.9409569982599124
ENSMUSG00000015501,Hivep2,protein_coding,4.482296849692732,4.787102264208815,4.967137073448117,6.769167990028927,2.7941939544779526,3.109965209699184,2.4843992359025764,3.0000901184986764
ENSMUSG00000015766,Eps8,protein_coding,6.0034239805895835,6.036142358932358,6.408522600807893,6.554263328154985,3.0163257702370267,3.5152739314852335,4.409577219299385,5.550405705546058
ENSMUSG00000016200,Syt14,protein_coding,6.747605091990434,6.518363766435892,6.806914258421593,6.783626527349294,3.8499347886271074,4.818844418678136,4.1402315907559455,4.017929049387613
ENSMUSG00000016409,Nkap,protein_coding,5.528110626637954,5.785633434424475,5.7789023694729424,5.372714008284538,3.2115294797859835,4.045858617161645,3.0375974178590424,2.268041681096357
ENSMUSG00000016477,E2f3,protein_coding,4.074794963448458,3.793347801622678,5.032914443504711,5.163418272778873,3.2618724571987414,3.6028866732348073,2.843976374070837,3.577100909120296
ENSMUSG00000016481,Cr1l,protein_coding,5.305053230653396,5.337066324256217,5.51000768989354,5.450730117036124,2.5201860238988685,4.27964725869026,3.838045187474661,3.8543226537994735
ENSMUSG00000016534,Lamp2,protein_coding,6.654749087939116,6.6958432114720585,6.617136006568733,6.985385915440538,4.61130148095547,6.074924472329832,5.175210603046597,5.2492360005210355
ENSMUSG00000016552,Foxred2,protein_coding,3.773565101262405,3.1232112599879467,4.927238979539899,7.318795909473635,3.53922612796555,2.6741173033424,2.5400112263958508,4.007688982754438
ENSMUSG00000016984,Etaa1,protein_coding,4.794123475048742,4.7923677858628855,4.915034084089327,4.535931636816135,4.307871344710565,4.365750316016354,3.0245155965229413,3.5724766785626043
ENSMUSG00000017291,Taok1,protein_coding,9.1058384219922,9.194485930930384,9.179563486173713,9.063751481158027,5.84166038623216,7.048153368160659,5.9776922761428155,5.7152901511076255
ENSMUSG00000017344,Vtn,protein_coding,4.612812844436156,4.3596362686858114,5.508811260950526,6.844841754089701,1.3904122523774245,2.223996709455249,3.8477018791703093,6.485814591354742
ENSMUSG00000017418,Arl5b,protein_coding,7.712709452165956,7.834448568061266,7.571465657738337,7.343145399056946,4.78331812863486,6.153192617239348,5.228051388532182,5.03908004661151
ENSMUSG00000017548,Suz12,protein_coding,7.778609384830142,7.643016184759271,7.950751093971419,7.8553134995116665,6.168949205317489,6.937055299836603,5.741652733936154,5.697619787396978
ENSMUSG00000017550,Atad5,protein_coding,6.205550543338212,5.907295179807113,5.891884869711532,5.353914548325981,3.144316826058866,4.8891587719334915,4.340948661038923,3.510208214827308
ENSMUSG00000018199,Trove2,protein_coding,7.149897358297767,7.264587384471767,7.276766289251107,7.6168555795555895,4.756231712135949,6.228390085027251,4.984662098943815,5.143126731492673
ENSMUSG00000018417,Myo1b,protein_coding,6.991556935362504,7.493082369643247,6.918503288809714,6.8128116011556745,5.108447641937266,5.564228678729363,3.997155016025441,3.6139265137204837
ENSMUSG00000018427,Ypel2,protein_coding,7.652687387386614,7.1441328340477295,7.599051971189739,7.599854905953353,5.665585576570916,6.013116223726289,5.69908597169773,5.652813684761271
ENSMUSG00000018800,Abca5,protein_coding,6.838729340781944,6.779838384543205,6.887352960893461,7.559832546398664,4.019380730775801,5.503541119744231,4.5105691565379615,4.680321762638589
ENSMUSG00000018821,Avpi1,protein_coding,3.0859796677067277,2.5994432179588993,3.253273685369012,3.6474026990906285,0.7932275456714809,1.9910731544489824,3.030180666141913,4.249779329704573
ENSMUSG00000018846,Pank3,protein_coding,7.163379694784072,7.483717759435758,7.151175013080429,6.836920182356696,5.107060890949718,6.445742490468829,5.148409300048304,4.731126347587096
ENSMUSG00000018865,Sult4a1,protein_coding,3.086411449752048,4.261011214575415,3.1397153374546862,4.182848936382329,3.2325236043567767,2.1520122705901317,2.7245577927343683,4.012249098993356
ENSMUSG00000018995,Nars2,protein_coding,3.9980792472785085,4.523403160233934,4.477589239137214,4.516935739995051,3.064331725167945,3.4874339022747254,2.6029857023836938,2.4215410326338813
ENSMUSG00000019122,Ccl9,protein_coding,1.6578614515908545,0.6284878569868697,3.1043879459980044,5.388297750984574,0,0.3053054145322296,0.21631282996283926,0.5751352125998994
ENSMUSG00000019256,Ahr,protein_coding,4.951509698064708,5.0052448830232725,5.148896302299465,5.906946776508246,0.7932275456714809,2.260934798353692,2.521069594540533,3.7734276521476553
ENSMUSG00000019590,Cyb561,protein_coding,4.31317812921532,4.29503815421361,4.664296204518551,3.8432257450391645,1.6978195873001576,1.3272497345374084,1.5422797013413438,2.8560518892426208
ENSMUSG00000019647,Sema6a,protein_coding,6.022265585096965,6.953947596889305,4.581976818781348,2.2720458597186752,4.0498926862826226,4.75441885787207,4.345859318917177,4.265597328589685
ENSMUSG00000019689,Fmc1,protein_coding,4.420165662620507,4.49534527290869,4.904025962355575,4.701721002046587,2.1784788809168205,2.6499040108353236,2.36489310359865,2.400823098048512
ENSMUSG00000019699,Akt3,protein_coding,8.16779240395253,8.233558755897356,8.271711316400793,8.139935888358146,5.956793684955838,6.575616401600306,6.254656613982398,6.3199564985703285
ENSMUSG00000019726,Lyst,protein_coding,6.991058491887152,6.933623866185504,7.2589809548374244,7.328350135439341,4.3883977221755135,5.842106030064727,5.287946315725763,5.267106790877611
ENSMUSG00000019775,Rgs17,protein_coding,3.754514911672615,4.263842245980608,2.4201266115154603,1.857090890299928,0.6319985107225746,1.6361724213666395,1.2798321466444589,2.0962441721619816
ENSMUSG00000019790,Stxbp5,protein_coding,9.226685796231145,9.09304754032607,9.126095346096712,9.389069053954366,6.158798892857397,6.744668653776754,6.806445677587497,7.0559735554912955
ENSMUSG00000019818,Cd164,protein_coding,6.786139657222274,6.75497912592336,7.0598538215199715,7.1719217273140705,5.1710937204537935,5.906540733252197,4.750013939519168,4.834608656419384
ENSMUSG00000019841,Rev3l,protein_coding,9.171167390436263,9.167322169709294,9.140761101357233,9.333451174741361,6.328094778534479,7.650336534488884,6.839607892078863,6.994146988239666
ENSMUSG00000019850,Tnfaip3,protein_coding,2.420664764228521,1.648247521048526,3.270712434316999,5.360468546141076,2.1696573451922756,2.04583797178089,2.1519559796330836,1.775524024922814
ENSMUSG00000019852,Arfgef3,protein_coding,4.236269896210321,4.432352844280039,4.016014423745345,4.348785052866102,1.0315579269656172,1.8852934532860268,1.4913049162043301,2.268041681096357
ENSMUSG00000019867,Gje1,protein_coding,4.156866495738009,3.0107170407746517,4.4110716624641215,3.1498567904354444,0,0.27725972761240647,0.6542229587251174,0.3160397585807193
ENSMUSG00000019948,Actr6,protein_coding,4.126020044936703,3.9526080474525425,4.785829404756002,4.705085333940715,2.1784788809168205,4.087909732624599,3.1873574845659016,3.2257950197910135
ENSMUSG00000019966,Kitl,protein_coding,3.8674281657913414,4.403457173343638,3.651688934316386,4.050058387015534,0.2427387716736093,2.175173706358686,1.5343286991491898,0.3160397585807193
ENSMUSG00000019971,Cep290,protein_coding,9.126255872356483,9.031460057347045,9.245226750782596,9.12896535691625,6.963011736142861,7.993383499730951,7.540362508941585,7.500896238619483
ENSMUSG00000019990,Pde7b,protein_coding,5.604702528769312,5.780997998258921,5.646161905674452,5.948138057331754,2.4733515373282375,3.7529266681380427,2.5642589731913037,1.844845975888878
ENSMUSG00000020003,Pex7,protein_coding,5.07002591980186,4.9933374230252765,5.509921775672972,5.654556074949135,3.072117088336764,4.166238853156531,3.6132712096108768,3.6501824920272847
ENSMUSG00000020014,Cfap54,protein_coding,3.2229853199018423,3.508216740026274,4.2680697334305044,4.50141073204007,1.1374198088798864,1.1432832115875349,0.9245823863505994,1.9684375150375535
ENSMUSG00000020015,Cdk17,protein_coding,5.793818063513411,5.864521458409036,5.431931144568014,5.698164806505995,3.6156561343830345,4.572698167383693,3.511214379200381,4.080006372890875
ENSMUSG00000020021,Fgd6,protein_coding,4.488574823133877,4.7128251688521114,4.657941417421096,5.637511489149637,2.410041777811944,2.90657667047965,2.0781609355786297,0.5627539095401557
ENSMUSG00000020044,Timp3,protein_coding,4.207242875758928,4.370601891627991,4.083016807159359,3.9438292888511275,1.4878837883323932,2.2809445456956703,3.108095604444672,3.646905943219919
ENSMUSG00000020098,Pcbd1,protein_coding,3.4551645792142516,3.427670985463446,2.518025392670542,2.8705188883643715,2.9268082290452684,1.6492094633205172,1.9072464585595463,1.4063760101348013
ENSMUSG00000020100,Slc29a3,protein_coding,4.330537530132137,4.579188367906113,3.710415081274334,2.5259401389929903,1.6775493063075235,3.2314483520654744,2.3350988750963677,2.130204595744699
ENSMUSG00000020121,Srgap1,protein_coding,6.039870891783672,6.360550687514454,4.327249884135451,3.772373378822705,3.6285890243092,3.278517017822336,3.5661182351862886,4.048746782960309
ENSMUSG00000020128,Vps54,protein_coding,7.101556964202011,7.185685492155337,7.0796350578855805,7.006854911059907,5.22475871854399,5.823467488020887,5.090192676498461,4.705512293734282
ENSMUSG00000020137,Thap2,protein_coding,4.927779308210855,4.690287256282963,4.8687947490329835,4.739543957701683,2.3949824913380535,3.8205838903805422,3.354005072601141,2.669599633221372
ENSMUSG00000020140,Lgr5,protein_coding,4.315521918106918,4.231088600540041,4.967870446711275,7.22219615531425,2.151850784649963,3.5358583739976557,3.2351338169640584,4.537671412848375
ENSMUSG00000020181,Nav3,protein_coding,3.16655431279379,4.428399183237345,1.796055433990591,2.5500250222790353,1.9916986745493588,1.2055191463059425,0.7960778051749535,2.0337556612287666
ENSMUSG00000020184,Mdm2,protein_coding,7.376173100148608,7.367292167599863,7.503194785365345,7.559445694616516,5.797676563608666,6.1236552230444925,5.48626702601443,5.600905849920637
